from_cd,to_cd
Greenwich Village and Soho (CD2),Lower East Side and Chinatown (CD3)
Greenwich Village and Soho (CD2),Greenpoint and Williamsburg (CD1)
Greenwich Village and Soho (CD2),Upper East Side (CD8)
Greenwich Village and Soho (CD2),Long Island City and Astoria (CD1)
Greenwich Village and Soho (CD2),Ridgewood and Maspeth (CD5)
Greenwich Village and Soho (CD2),Park Slope and Carroll Gardens (CD6)
Greenwich Village and Soho (CD2),Sunset Park (CD7)
Woodside and Sunnyside (CD2),Crown Heights and Prospect Heights (CD8)
Woodside and Sunnyside (CD2),Midtown (CD5)
Woodside and Sunnyside (CD2),Clinton and Chelsea (CD4)
Woodside and Sunnyside (CD2),Upper West Side (CD7)
Woodside and Sunnyside (CD2),East Harlem (CD11)
Woodside and Sunnyside (CD2),Jackson Heights (CD3)
Woodside and Sunnyside (CD2),Elmhurst and Corona (CD4)
Woodside and Sunnyside (CD2),Fort Greene and Brooklyn Heights (CD2)
Woodside and Sunnyside (CD2),Bedford Stuyvesant (CD3)
Woodside and Sunnyside (CD2),Bushwick (CD4)
Woodside and Sunnyside (CD2),South Crown Heights and Lefferts Gardens (CD9)
Woodside and Sunnyside (CD2),Stuyvesant Town and Turtle Bay (CD6)
Woodside and Sunnyside (CD2),Greenwich Village and Soho (CD2)
Woodside and Sunnyside (CD2),Financial District (CD1)
Woodside and Sunnyside (CD2),Lower East Side and Chinatown (CD3)
Woodside and Sunnyside (CD2),Greenpoint and Williamsburg (CD1)
Woodside and Sunnyside (CD2),East New York and Starrett City (CD5)
Woodside and Sunnyside (CD2),Morningside Heights and Hamilton Heights (CD9)
Woodside and Sunnyside (CD2),Central Harlem (CD10)
Woodside and Sunnyside (CD2),Upper East Side (CD8)
Woodside and Sunnyside (CD2),Long Island City and Astoria (CD1)
Woodside and Sunnyside (CD2),Brownsville (CD16)
Woodside and Sunnyside (CD2),Ridgewood and Maspeth (CD5)
Woodside and Sunnyside (CD2),Mott Haven and Melrose (CD1)
Woodside and Sunnyside (CD2),Hunts Point and Longwood (CD2)
Woodside and Sunnyside (CD2),Park Slope and Carroll Gardens (CD6)
Financial District (CD1),Crown Heights and Prospect Heights (CD8)
Financial District (CD1),Bay Ridge and Dyker Heights (CD10)
Financial District (CD1),Midtown (CD5)
Financial District (CD1),Clinton and Chelsea (CD4)
Financial District (CD1),Upper West Side (CD7)
Financial District (CD1),Borough Park (CD12)
Financial District (CD1),Fort Greene and Brooklyn Heights (CD2)
Financial District (CD1),Bedford Stuyvesant (CD3)
Financial District (CD1),Bushwick (CD4)
Financial District (CD1),South Crown Heights and Lefferts Gardens (CD9)
Financial District (CD1),Stuyvesant Town and Turtle Bay (CD6)
Financial District (CD1),Greenwich Village and Soho (CD2)
Financial District (CD1),Woodside and Sunnyside (CD2)
Financial District (CD1),Flatbush and Midwood (CD14)
Financial District (CD1),Lower East Side and Chinatown (CD3)
Financial District (CD1),Greenpoint and Williamsburg (CD1)
Financial District (CD1),Upper East Side (CD8)
Financial District (CD1),Brownsville (CD16)
Financial District (CD1),East Flatbush (CD17)
Financial District (CD1),Park Slope and Carroll Gardens (CD6)
Financial District (CD1),Sunset Park (CD7)
Flatbush and Midwood (CD14),Crown Heights and Prospect Heights (CD8)
Flatbush and Midwood (CD14),Bay Ridge and Dyker Heights (CD10)
Flatbush and Midwood (CD14),Borough Park (CD12)
Flatbush and Midwood (CD14),Fort Greene and Brooklyn Heights (CD2)
Flatbush and Midwood (CD14),Bedford Stuyvesant (CD3)
Flatbush and Midwood (CD14),Bushwick (CD4)
Flatbush and Midwood (CD14),South Crown Heights and Lefferts Gardens (CD9)
Flatbush and Midwood (CD14),Financial District (CD1)
Flatbush and Midwood (CD14),Greenpoint and Williamsburg (CD1)
Flatbush and Midwood (CD14),East New York and Starrett City (CD5)
Flatbush and Midwood (CD14),Brownsville (CD16)
Flatbush and Midwood (CD14),East Flatbush (CD17)
Flatbush and Midwood (CD14),Park Slope and Carroll Gardens (CD6)
Flatbush and Midwood (CD14),Sunset Park (CD7)
Lower East Side and Chinatown (CD3),Crown Heights and Prospect Heights (CD8)
Lower East Side and Chinatown (CD3),Midtown (CD5)
Lower East Side and Chinatown (CD3),Clinton and Chelsea (CD4)
Lower East Side and Chinatown (CD3),Upper West Side (CD7)
Lower East Side and Chinatown (CD3),Borough Park (CD12)
Lower East Side and Chinatown (CD3),East Harlem (CD11)
Lower East Side and Chinatown (CD3),Elmhurst and Corona (CD4)
Lower East Side and Chinatown (CD3),Fort Greene and Brooklyn Heights (CD2)
Lower East Side and Chinatown (CD3),Bedford Stuyvesant (CD3)
Lower East Side and Chinatown (CD3),Bushwick (CD4)
Lower East Side and Chinatown (CD3),South Crown Heights and Lefferts Gardens (CD9)
Lower East Side and Chinatown (CD3),Stuyvesant Town and Turtle Bay (CD6)
Lower East Side and Chinatown (CD3),Greenwich Village and Soho (CD2)
Lower East Side and Chinatown (CD3),Woodside and Sunnyside (CD2)
Lower East Side and Chinatown (CD3),Financial District (CD1)
Lower East Side and Chinatown (CD3),Greenpoint and Williamsburg (CD1)
Lower East Side and Chinatown (CD3),Upper East Side (CD8)
Lower East Side and Chinatown (CD3),Long Island City and Astoria (CD1)
Lower East Side and Chinatown (CD3),Brownsville (CD16)
Lower East Side and Chinatown (CD3),East Flatbush (CD17)
Lower East Side and Chinatown (CD3),Ridgewood and Maspeth (CD5)
Lower East Side and Chinatown (CD3),Park Slope and Carroll Gardens (CD6)
Lower East Side and Chinatown (CD3),Sunset Park (CD7)
Greenpoint and Williamsburg (CD1),Crown Heights and Prospect Heights (CD8)
Greenpoint and Williamsburg (CD1),Midtown (CD5)
Greenpoint and Williamsburg (CD1),Clinton and Chelsea (CD4)
Greenpoint and Williamsburg (CD1),Upper West Side (CD7)
Greenpoint and Williamsburg (CD1),Borough Park (CD12)
Greenpoint and Williamsburg (CD1),East Harlem (CD11)
Greenpoint and Williamsburg (CD1),Jackson Heights (CD3)
Greenpoint and Williamsburg (CD1),Elmhurst and Corona (CD4)
Greenpoint and Williamsburg (CD1),Fort Greene and Brooklyn Heights (CD2)
Greenpoint and Williamsburg (CD1),Bedford Stuyvesant (CD3)
Greenpoint and Williamsburg (CD1),Bushwick (CD4)
Greenpoint and Williamsburg (CD1),South Crown Heights and Lefferts Gardens (CD9)
Greenpoint and Williamsburg (CD1),Stuyvesant Town and Turtle Bay (CD6)
Greenpoint and Williamsburg (CD1),Greenwich Village and Soho (CD2)
Greenpoint and Williamsburg (CD1),Woodside and Sunnyside (CD2)
Greenpoint and Williamsburg (CD1),Financial District (CD1)
Greenpoint and Williamsburg (CD1),Flatbush and Midwood (CD14)
Greenpoint and Williamsburg (CD1),Lower East Side and Chinatown (CD3)
Greenpoint and Williamsburg (CD1),East New York and Starrett City (CD5)
Greenpoint and Williamsburg (CD1),Upper East Side (CD8)
Greenpoint and Williamsburg (CD1),Long Island City and Astoria (CD1)
Greenpoint and Williamsburg (CD1),Brownsville (CD16)
Greenpoint and Williamsburg (CD1),East Flatbush (CD17)
Greenpoint and Williamsburg (CD1),Ridgewood and Maspeth (CD5)
Greenpoint and Williamsburg (CD1),Park Slope and Carroll Gardens (CD6)
Greenpoint and Williamsburg (CD1),Sunset Park (CD7)
East New York and Starrett City (CD5),Crown Heights and Prospect Heights (CD8)
East New York and Starrett City (CD5),Borough Park (CD12)
East New York and Starrett City (CD5),Jackson Heights (CD3)
East New York and Starrett City (CD5),Elmhurst and Corona (CD4)
East New York and Starrett City (CD5),Fort Greene and Brooklyn Heights (CD2)
East New York and Starrett City (CD5),Bedford Stuyvesant (CD3)
East New York and Starrett City (CD5),Bushwick (CD4)
East New York and Starrett City (CD5),South Crown Heights and Lefferts Gardens (CD9)
East New York and Starrett City (CD5),Woodside and Sunnyside (CD2)
East New York and Starrett City (CD5),Flatbush and Midwood (CD14)
East New York and Starrett City (CD5),Greenpoint and Williamsburg (CD1)
East New York and Starrett City (CD5),Brownsville (CD16)
East New York and Starrett City (CD5),East Flatbush (CD17)
East New York and Starrett City (CD5),Ridgewood and Maspeth (CD5)
East New York and Starrett City (CD5),Park Slope and Carroll Gardens (CD6)
Morningside Heights and Hamilton Heights (CD9),Highbridge and Concourse (CD4)
Morningside Heights and Hamilton Heights (CD9),Fordham and University Heights (CD5)
Morningside Heights and Hamilton Heights (CD9),Morrisania and Crotona (CD3)
Morningside Heights and Hamilton Heights (CD9),Belmont and East Tremont (CD6)
Morningside Heights and Hamilton Heights (CD9),Midtown (CD5)
Morningside Heights and Hamilton Heights (CD9),Clinton and Chelsea (CD4)
Morningside Heights and Hamilton Heights (CD9),Upper West Side (CD7)
Morningside Heights and Hamilton Heights (CD9),East Harlem (CD11)
Morningside Heights and Hamilton Heights (CD9),Jackson Heights (CD3)
Morningside Heights and Hamilton Heights (CD9),Washington Heights and Inwood (CD12)
Morningside Heights and Hamilton Heights (CD9),Stuyvesant Town and Turtle Bay (CD6)
Morningside Heights and Hamilton Heights (CD9),Woodside and Sunnyside (CD2)
Morningside Heights and Hamilton Heights (CD9),Central Harlem (CD10)
Morningside Heights and Hamilton Heights (CD9),Upper East Side (CD8)
Morningside Heights and Hamilton Heights (CD9),Long Island City and Astoria (CD1)
Morningside Heights and Hamilton Heights (CD9),Kingsbridge Heights and Bedford (CD7)
Morningside Heights and Hamilton Heights (CD9),Mott Haven and Melrose (CD1)
Morningside Heights and Hamilton Heights (CD9),Hunts Point and Longwood (CD2)
Central Harlem (CD10),Highbridge and Concourse (CD4)
Central Harlem (CD10),Fordham and University Heights (CD5)
Central Harlem (CD10),Morrisania and Crotona (CD3)
Central Harlem (CD10),Belmont and East Tremont (CD6)
Central Harlem (CD10),Midtown (CD5)
Central Harlem (CD10),Clinton and Chelsea (CD4)
Central Harlem (CD10),Upper West Side (CD7)
Central Harlem (CD10),East Harlem (CD11)
Central Harlem (CD10),Jackson Heights (CD3)
Central Harlem (CD10),Washington Heights and Inwood (CD12)
Central Harlem (CD10),Stuyvesant Town and Turtle Bay (CD6)
Central Harlem (CD10),Woodside and Sunnyside (CD2)
Central Harlem (CD10),Morningside Heights and Hamilton Heights (CD9)
Central Harlem (CD10),Upper East Side (CD8)
Central Harlem (CD10),Long Island City and Astoria (CD1)
Central Harlem (CD10),Kingsbridge Heights and Bedford (CD7)
Central Harlem (CD10),Mott Haven and Melrose (CD1)
Central Harlem (CD10),Hunts Point and Longwood (CD2)
Upper East Side (CD8),Highbridge and Concourse (CD4)
Upper East Side (CD8),Fordham and University Heights (CD5)
Upper East Side (CD8),Morrisania and Crotona (CD3)
Upper East Side (CD8),Midtown (CD5)
Upper East Side (CD8),Clinton and Chelsea (CD4)
Upper East Side (CD8),Upper West Side (CD7)
Upper East Side (CD8),East Harlem (CD11)
Upper East Side (CD8),Jackson Heights (CD3)
Upper East Side (CD8),Washington Heights and Inwood (CD12)
Upper East Side (CD8),Elmhurst and Corona (CD4)
Upper East Side (CD8),Fort Greene and Brooklyn Heights (CD2)
Upper East Side (CD8),Bedford Stuyvesant (CD3)
Upper East Side (CD8),Bushwick (CD4)
Upper East Side (CD8),Stuyvesant Town and Turtle Bay (CD6)
Upper East Side (CD8),Greenwich Village and Soho (CD2)
Upper East Side (CD8),Woodside and Sunnyside (CD2)
Upper East Side (CD8),Financial District (CD1)
Upper East Side (CD8),Lower East Side and Chinatown (CD3)
Upper East Side (CD8),Greenpoint and Williamsburg (CD1)
Upper East Side (CD8),Morningside Heights and Hamilton Heights (CD9)
Upper East Side (CD8),Central Harlem (CD10)
Upper East Side (CD8),Long Island City and Astoria (CD1)
Upper East Side (CD8),Ridgewood and Maspeth (CD5)
Upper East Side (CD8),Mott Haven and Melrose (CD1)
Upper East Side (CD8),Hunts Point and Longwood (CD2)
Long Island City and Astoria (CD1),Highbridge and Concourse (CD4)
Long Island City and Astoria (CD1),Fordham and University Heights (CD5)
Long Island City and Astoria (CD1),Morrisania and Crotona (CD3)
Long Island City and Astoria (CD1),Belmont and East Tremont (CD6)
Long Island City and Astoria (CD1),Midtown (CD5)
Long Island City and Astoria (CD1),Clinton and Chelsea (CD4)
Long Island City and Astoria (CD1),Upper West Side (CD7)
Long Island City and Astoria (CD1),East Harlem (CD11)
Long Island City and Astoria (CD1),Jackson Heights (CD3)
Long Island City and Astoria (CD1),Washington Heights and Inwood (CD12)
Long Island City and Astoria (CD1),Elmhurst and Corona (CD4)
Long Island City and Astoria (CD1),Bedford Stuyvesant (CD3)
Long Island City and Astoria (CD1),Bushwick (CD4)
Long Island City and Astoria (CD1),Stuyvesant Town and Turtle Bay (CD6)
Long Island City and Astoria (CD1),Greenwich Village and Soho (CD2)
Long Island City and Astoria (CD1),Woodside and Sunnyside (CD2)
Long Island City and Astoria (CD1),Lower East Side and Chinatown (CD3)
Long Island City and Astoria (CD1),Greenpoint and Williamsburg (CD1)
Long Island City and Astoria (CD1),Morningside Heights and Hamilton Heights (CD9)
Long Island City and Astoria (CD1),Central Harlem (CD10)
Long Island City and Astoria (CD1),Upper East Side (CD8)
Long Island City and Astoria (CD1),Ridgewood and Maspeth (CD5)
Long Island City and Astoria (CD1),Mott Haven and Melrose (CD1)
Long Island City and Astoria (CD1),Hunts Point and Longwood (CD2)
Kingsbridge Heights and Bedford (CD7),Highbridge and Concourse (CD4)
Kingsbridge Heights and Bedford (CD7),Fordham and University Heights (CD5)
Kingsbridge Heights and Bedford (CD7),Morrisania and Crotona (CD3)
Kingsbridge Heights and Bedford (CD7),Belmont and East Tremont (CD6)
Kingsbridge Heights and Bedford (CD7),East Harlem (CD11)
Kingsbridge Heights and Bedford (CD7),Washington Heights and Inwood (CD12)
Kingsbridge Heights and Bedford (CD7),Morningside Heights and Hamilton Heights (CD9)
Kingsbridge Heights and Bedford (CD7),Central Harlem (CD10)
Kingsbridge Heights and Bedford (CD7),Mott Haven and Melrose (CD1)
Kingsbridge Heights and Bedford (CD7),Hunts Point and Longwood (CD2)
Brownsville (CD16),Crown Heights and Prospect Heights (CD8)
Brownsville (CD16),Borough Park (CD12)
Brownsville (CD16),Elmhurst and Corona (CD4)
Brownsville (CD16),Fort Greene and Brooklyn Heights (CD2)
Brownsville (CD16),Bedford Stuyvesant (CD3)
Brownsville (CD16),Bushwick (CD4)
Brownsville (CD16),South Crown Heights and Lefferts Gardens (CD9)
Brownsville (CD16),Woodside and Sunnyside (CD2)
Brownsville (CD16),Financial District (CD1)
Brownsville (CD16),Flatbush and Midwood (CD14)
Brownsville (CD16),Lower East Side and Chinatown (CD3)
Brownsville (CD16),Greenpoint and Williamsburg (CD1)
Brownsville (CD16),East New York and Starrett City (CD5)
Brownsville (CD16),East Flatbush (CD17)
Brownsville (CD16),Ridgewood and Maspeth (CD5)
Brownsville (CD16),Park Slope and Carroll Gardens (CD6)
Brownsville (CD16),Sunset Park (CD7)
East Flatbush (CD17),Crown Heights and Prospect Heights (CD8)
East Flatbush (CD17),Bay Ridge and Dyker Heights (CD10)
East Flatbush (CD17),Borough Park (CD12)
East Flatbush (CD17),Fort Greene and Brooklyn Heights (CD2)
East Flatbush (CD17),Bedford Stuyvesant (CD3)
East Flatbush (CD17),Bushwick (CD4)
East Flatbush (CD17),South Crown Heights and Lefferts Gardens (CD9)
East Flatbush (CD17),Financial District (CD1)
East Flatbush (CD17),Flatbush and Midwood (CD14)
East Flatbush (CD17),Lower East Side and Chinatown (CD3)
East Flatbush (CD17),Greenpoint and Williamsburg (CD1)
East Flatbush (CD17),East New York and Starrett City (CD5)
East Flatbush (CD17),Brownsville (CD16)
East Flatbush (CD17),Ridgewood and Maspeth (CD5)
East Flatbush (CD17),Park Slope and Carroll Gardens (CD6)
East Flatbush (CD17),Sunset Park (CD7)
Ridgewood and Maspeth (CD5),Crown Heights and Prospect Heights (CD8)
Ridgewood and Maspeth (CD5),Midtown (CD5)
Ridgewood and Maspeth (CD5),Jackson Heights (CD3)
Ridgewood and Maspeth (CD5),Elmhurst and Corona (CD4)
Ridgewood and Maspeth (CD5),Fort Greene and Brooklyn Heights (CD2)
Ridgewood and Maspeth (CD5),Bedford Stuyvesant (CD3)
Ridgewood and Maspeth (CD5),Bushwick (CD4)
Ridgewood and Maspeth (CD5),South Crown Heights and Lefferts Gardens (CD9)
Ridgewood and Maspeth (CD5),Stuyvesant Town and Turtle Bay (CD6)
Ridgewood and Maspeth (CD5),Greenwich Village and Soho (CD2)
Ridgewood and Maspeth (CD5),Woodside and Sunnyside (CD2)
Ridgewood and Maspeth (CD5),Lower East Side and Chinatown (CD3)
Ridgewood and Maspeth (CD5),Greenpoint and Williamsburg (CD1)
Ridgewood and Maspeth (CD5),East New York and Starrett City (CD5)
Ridgewood and Maspeth (CD5),Upper East Side (CD8)
Ridgewood and Maspeth (CD5),Long Island City and Astoria (CD1)
Ridgewood and Maspeth (CD5),Brownsville (CD16)
Ridgewood and Maspeth (CD5),East Flatbush (CD17)
Ridgewood and Maspeth (CD5),Park Slope and Carroll Gardens (CD6)
Mott Haven and Melrose (CD1),Highbridge and Concourse (CD4)
Mott Haven and Melrose (CD1),Fordham and University Heights (CD5)
Mott Haven and Melrose (CD1),Morrisania and Crotona (CD3)
Mott Haven and Melrose (CD1),Belmont and East Tremont (CD6)
Mott Haven and Melrose (CD1),Midtown (CD5)
Mott Haven and Melrose (CD1),Clinton and Chelsea (CD4)
Mott Haven and Melrose (CD1),Upper West Side (CD7)
Mott Haven and Melrose (CD1),East Harlem (CD11)
Mott Haven and Melrose (CD1),Jackson Heights (CD3)
Mott Haven and Melrose (CD1),Washington Heights and Inwood (CD12)
Mott Haven and Melrose (CD1),Elmhurst and Corona (CD4)
Mott Haven and Melrose (CD1),Stuyvesant Town and Turtle Bay (CD6)
Mott Haven and Melrose (CD1),Woodside and Sunnyside (CD2)
Mott Haven and Melrose (CD1),Morningside Heights and Hamilton Heights (CD9)
Mott Haven and Melrose (CD1),Central Harlem (CD10)
Mott Haven and Melrose (CD1),Upper East Side (CD8)
Mott Haven and Melrose (CD1),Long Island City and Astoria (CD1)
Mott Haven and Melrose (CD1),Kingsbridge Heights and Bedford (CD7)
Mott Haven and Melrose (CD1),Hunts Point and Longwood (CD2)
Hunts Point and Longwood (CD2),Highbridge and Concourse (CD4)
Hunts Point and Longwood (CD2),Fordham and University Heights (CD5)
Hunts Point and Longwood (CD2),Morrisania and Crotona (CD3)
Hunts Point and Longwood (CD2),Belmont and East Tremont (CD6)
Hunts Point and Longwood (CD2),Upper West Side (CD7)
Hunts Point and Longwood (CD2),East Harlem (CD11)
Hunts Point and Longwood (CD2),Jackson Heights (CD3)
Hunts Point and Longwood (CD2),Washington Heights and Inwood (CD12)
Hunts Point and Longwood (CD2),Elmhurst and Corona (CD4)
Hunts Point and Longwood (CD2),Woodside and Sunnyside (CD2)
Hunts Point and Longwood (CD2),Morningside Heights and Hamilton Heights (CD9)
Hunts Point and Longwood (CD2),Central Harlem (CD10)
Hunts Point and Longwood (CD2),Upper East Side (CD8)
Hunts Point and Longwood (CD2),Long Island City and Astoria (CD1)
Hunts Point and Longwood (CD2),Kingsbridge Heights and Bedford (CD7)
Hunts Point and Longwood (CD2),Mott Haven and Melrose (CD1)
Park Slope and Carroll Gardens (CD6),Crown Heights and Prospect Heights (CD8)
Park Slope and Carroll Gardens (CD6),Bay Ridge and Dyker Heights (CD10)
Park Slope and Carroll Gardens (CD6),Midtown (CD5)
Park Slope and Carroll Gardens (CD6),Clinton and Chelsea (CD4)
Park Slope and Carroll Gardens (CD6),Borough Park (CD12)
Park Slope and Carroll Gardens (CD6),Fort Greene and Brooklyn Heights (CD2)
Park Slope and Carroll Gardens (CD6),Bedford Stuyvesant (CD3)
Park Slope and Carroll Gardens (CD6),Bushwick (CD4)
Park Slope and Carroll Gardens (CD6),South Crown Heights and Lefferts Gardens (CD9)
Park Slope and Carroll Gardens (CD6),Stuyvesant Town and Turtle Bay (CD6)
Park Slope and Carroll Gardens (CD6),Greenwich Village and Soho (CD2)
Park Slope and Carroll Gardens (CD6),Woodside and Sunnyside (CD2)
Park Slope and Carroll Gardens (CD6),Financial District (CD1)
Park Slope and Carroll Gardens (CD6),Flatbush and Midwood (CD14)
Park Slope and Carroll Gardens (CD6),Lower East Side and Chinatown (CD3)
Park Slope and Carroll Gardens (CD6),Greenpoint and Williamsburg (CD1)
Park Slope and Carroll Gardens (CD6),East New York and Starrett City (CD5)
Park Slope and Carroll Gardens (CD6),Brownsville (CD16)
Park Slope and Carroll Gardens (CD6),East Flatbush (CD17)
Park Slope and Carroll Gardens (CD6),Ridgewood and Maspeth (CD5)
Park Slope and Carroll Gardens (CD6),Sunset Park (CD7)
Sunset Park (CD7),Crown Heights and Prospect Heights (CD8)
Sunset Park (CD7),Bay Ridge and Dyker Heights (CD10)
Sunset Park (CD7),Borough Park (CD12)
Sunset Park (CD7),Fort Greene and Brooklyn Heights (CD2)
Sunset Park (CD7),Bedford Stuyvesant (CD3)
Sunset Park (CD7),Bushwick (CD4)
Sunset Park (CD7),South Crown Heights and Lefferts Gardens (CD9)
Sunset Park (CD7),Greenwich Village and Soho (CD2)
Sunset Park (CD7),Financial District (CD1)
Sunset Park (CD7),Flatbush and Midwood (CD14)
Sunset Park (CD7),Lower East Side and Chinatown (CD3)
Sunset Park (CD7),Greenpoint and Williamsburg (CD1)
Sunset Park (CD7),Brownsville (CD16)
Sunset Park (CD7),East Flatbush (CD17)
Sunset Park (CD7),Park Slope and Carroll Gardens (CD6)
